track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
2,11,0x02b00,517abb5bcf263d2092ae379527ad542256cdc2fadf9299a4e43691c5933385eb,5.240609,22,170,64
2,12,0x02c00,e57b54f4808bc0adf29644119d2425230acf11fff45fa7cf0d8a1baaef7e1f6b,5.345828,15,172,70
2,13,0x02d00,4a0e0ba31e0bf0eaf500e8cfdddd6adbcf5ab16c2f14c9431d2543aaa86a7b62,5.482115,19,154,65
2,14,0x02e00,652c2a0dfadee84dafa074cab3de0d0ea97738912b52c865452c47433b9a00e6,5.761498,16,173,85
2,15,0x02f00,e23b3c695e7cd7e04fff524fe3784c35e4ec8e677376ca33527154ff1a5c0d99,5.343057,27,188,74
3,0,0x03000,f6b58f1fe121dca83a5c43e1bb5a039ab3b8b8ba05bb57c29fece7f1014d33de,5.633715,8,178,84
3,1,0x03100,71a0b92be3b6c64335e272a1184c53c0b12610074d9c71ec12ca99133932013b,5.430812,32,143,67
3,2,0x03200,ffdd958477a6f8403da4216724644e2a85e8643027a6be448d8458249e512630,5.308701,47,113,71
3,3,0x03300,92554e5645abc1c1ff68c672a8eb133bc38a111449d1558e5e2f3df37f1dcc25,5.401023,37,119,73
3,4,0x03400,1dc6e761496ed377649884d35c672b48f6d8580dcefabe6b080cea6849e52358,5.410039,30,123,71
3,5,0x03500,a5a9540738cc7e3a256f182b705f7b7a6a62bb753c38df29cf12ce5f8d419cc6,5.130064,35,128,63
3,6,0x03600,411a0d4a511b7c4c0afc72d0c6712eb1ad685306445d5f68e7b10a65f3625656,5.362021,17,164,65
3,7,0x03700,a401b39e5ce89b617ddf6d5bbe85a911c73c9a5714451c94d8fa395fad6668b3,5.315865,18,155,68
3,8,0x03800,74947affe7ac9bbf703a20c6740e3fa0f9799922b899421ee36f18c0b4af596e,5.274558,23,146,65
3,9,0x03900,74f285cfa3061dd3abc8db3eb544950004e1bfef38fdb9e2d37743d7243412b5,5.861557,14,173,90
3,10,0x03a00,b50c464556afde5f042f4b9ae3120b2af503c0a126e9a91490281e0602400c42,5.438041,25,189,80
3,11,0x03b00,4b06aa625fa0e424035e712c52beb0eae14682cca120acbb5a5f7c0c7e7047d7,5.591604,12,156,76
3,12,0x03c00,5c5bd53e9a78dacd9d07cbd1e538d04d9bd350fa02877083158db5f8bbb451c7,5.620923,12,83,69
3,13,0x03d00,0183cdbae960d70d9e068cd9c160645d620c901adcd1db4b3158bf4a413897ac,5.813380,12,72,80
3,14,0x03e00,d3f87fcbc2df046b6257b08bae31c6b7f935e108370e6239e2c5bcb9e199ee88,5.452055,14,46,67
3,15,0x03f00,a5541bd6480b398f741bb2f7f5f60ee197dc05eb19ae52950df3bb942626bf6a,5.626475,18,90,70
4,0,0x04000,d87d0cebe6576f626a383d1be723f25d44b8bfb4794e6b9e8d32daeeafd75d49,5.470147,10,114,68
4,1,0x04100,0928fbe2c489842179ad5770894e709f97e5ac9559ed7d5f535192b081a14e77,5.739863,14,79,75
4,2,0x04200,49ac5e88826ac65bb52fef062278ba158ca4264b6f8d69494098a7ba2278db80,5.729004,5,91,70
4,3,0x04300,30b024a8103dbc59b5128c6a2918adfc748d85f419b94c61d02fa48764d3d597,5.622935,6,74,72
4,4,0x04400,1bb7c41580e9ce9eca23ab949aeefccdbcb28781a38f4596e3dda3daad382260,5.877369,9,68,84
4,5,0x04500,bfdba8073d47abcf4d26b552b07f01392adaac807b6ab84d693d3ad216e26b9b,5.611345,7,112,73
4,6,0x04600,32465508d561ddec358766f1f1760be313668d4eca5e5f26bdecb65489973c11,5.614329,7,110,67
4,7,0x04700,e3e8f3cc3bfc8384d2a1a787d5c1dea946c8d8c9888be913b87441fa8b0720a1,5.532327,29,53,67
4,8,0x04800,020b45793dffe5b65ee069b149db2450ba3a935f65b14168369ba7f93cc16411,5.570645,27,84,71
4,9,0x04900,362cf8e5de1813cf5f830c1098f0f93cddcba350ab755e9ca27705874008c5ec,5.414573,30,97,67
4,10,0x04a00,fabfeae0a4a6f596c5d598a3af16721a3693f5fde9c3ca30553593c2403a59bd,5.473006,32,70,72
4,11,0x04b00,2d9fb7936bd861ae927c617c363f07c82016d16e24458b7c06e6600b14f64525,5.647556,31,92,81
4,12,0x04c00,e07d6c3d5e11a498728150588d64f2ed2fa83f5a08a08cdb6aae0f2d610998b4,5.727632,23,134,81
4,13,0x04d00,ba27218770fafa62653da7ad2ad06bee192355520cdb1f0281090f2389570905,5.555382,16,163,73
4,14,0x04e00,4843ae90f289eae760944f95f39cf229592f2b739f30cd4134eb0b0ec36c6c6a,5.459827,11,189,70
4,15,0x04f00,7c6a74a9ee6ab90058dc38084161ef0ca4d0811bcbcae16e6bcee8b04ef42001,5.584444,19,94,69
5,0,0x05000,36cd640d671c563c33ae8d72b53cc23717a2565790a56bab0a48b7b59dd5275d,5.418794,31,55,64
5,1,0x05100,5a037cfc7859f30e049dc3e408bd1c38f80e70ea4ec8f65c712e9dc819c604bf,5.548177,27,97,74
5,2,0x05200,995e3580c0c72c7a43faeebe03dba9fc1d42dc1aac73ae8df20e47004682aa95,5.434681,33,78,73
5,3,0x05300,899513ffe1e037de9c98f8ba4c67c4619e0cd1e02b77900be73a86865682a9be,5.594335,37,72,79
5,4,0x05400,98c65d91425a56f951fb621a5f62ee8ea7ef2bc7829afc02484fbcf50613d06b,5.744724,20,142,85
5,5,0x05500,154293cddb23f2a1415131c2e1212c1b79d6d17916235e9918863c184095ecb4,5.781916,14,146,83
5,6,0x05600,3b6bab14f1b1304fc2c4d702b5c9e1b03b96244295677fb0911ff8fcb3a74e9f,5.490504,15,183,71
5,7,0x05700,e89d1afab93ea13b873b77f9d8861a19338a9c34b8391e27afa0479f0853d697,5.688969,15,132,76
5,8,0x05800,d1204d92c36099555886df53e8a713bac1c74c4d714327234c0402f7ae6b162f,5.836238,20,137,80
5,9,0x05900,f865d76d3ce208dfe9ebc9fba4c0022cb8fa000b2605cc8f0be8dba7f42658f2,5.674485,27,92,80
5,10,0x05a00,fe39c8b1fc32e9a652777861e31c241ecc8826f52d68397d322c43a603cc4f72,5.663449,28,99,78
5,11,0x05b00,e0a756a7ea570e5185dc518f53346dfec0669650e84ad79684a9bb9e1bbbce7d,5.012584,38,59,58
5,12,0x05c00,4546ca1111b590b578855f3907b3cb012c643c42e2cd8ecc292390d0286c5b2c,5.385562,17,55,65
5,13,0x05d00,9abaeb7c6be1e36e8051857f82b6b0739e95cf63684e39a93aa4d7b9aa1247ad,5.281646,33,52,63
5,14,0x05e00,430e34b8cf0a325458b5a20b36e1748c88c9fddd29d7796f5c3b100f3a3c1cc5,5.311408,27,50,66
5,15,0x05f00,d3d7ef3f5fe4d6a3f18f28c7ec626636939722f825376c06a75c147a435eb468,5.440652,13,73,66
6,0,0x06000,50e29da533f26ec7dedb7636c08972cdbafa2b204688b815ab62b48024a82c61,5.742346,24,158,77
6,1,0x06100,ccf3975e55afe326895d9883af87fcaab64769cedf84fa3068a1006ce056caac,5.872079,8,189,79
6,2,0x06200,31755b08d782b091ea886743e74948f05b29a47f229f4d780cf7d7dbae9cf5fe,5.905771,21,121,86
6,3,0x06300,5d0680d74d3dda46f72a0b3e1ae70432e4e19685e3dc281804c6abffab7c9239,5.654514,25,93,77
6,4,0x06400,37cfebc30bacdebac34a8341b7bba258a6f4b62e2a06b8f0497231233e0502aa,5.629827,28,103,73
6,5,0x06500,6575e09f17fda76bbddfa370a12be15b28c09410aa70e9e25d6f0a99ee65e242,5.108531,32,68,57
6,6,0x06600,068a4a7a70118d2ee1f979ed26bc2d433db7552ca1e554defc9732868ab0db39,5.404600,24,58,67
